Device type,Device function,IP Address,Visible IP Address,OS Type,OS Version,Hostname(s),MAC Address,Manufacturer,First Seen,Last Seen,Remarks,Installation TimeStamp
Server,Server,192.168.168.59,203.177.81.30,Linux,Linux Distribution,,,,53:34.7,53:34.7,No relevant ports are open,
Server,Server,192.168.168.11,203.177.81.30,Linux,Linux Distribution,pdsbancsv6dbuat,,,53:44.4,53:44.4,Sentinelone installed,2024-04-13 16:55
Server,Server,192.168.168.9,203.177.81.30,Linux,Linux Distribution,,,,53:44.1,53:44.1,No relevant ports are open,
Server,Server,192.168.168.12,203.177.81.30,Linux,Linux Distribution,,,,53:42.8,53:42.8,Admin carana not found,
Server,Server,192.168.168.42,203.177.81.30,Linux,Red Hat,PDSWEBDBNGTST01,,,53:40.1,53:40.1,Sentinelone installed,2024-10-07 11:56
Server,Server,192.168.168.31,203.177.81.30,Linux,Red Hat,mwtpdswebapps,,,53:42.4,53:42.4,Sentinelone installed,2024-10-07 13:48
Server,Server,192.168.168.32,203.177.81.30,Linux,CentOS,pdssitedbng1test,,,53:40.1,53:40.1,Sentinelone installed,2024-10-07 13:52
Server,Server,192.168.168.95,203.177.81.30,Linux,Debian,,,,53:32.6,53:32.6,Admin carana not found,
Server,Server,192.168.168.55,203.177.81.30,Linux,Linux Distribution,,,,53:38.2,53:38.2,No relevant ports are open,
Server,Server,192.168.168.40,203.177.81.30,Linux,Red Hat,PDSSITEAPPNG1T,,,53:38.4,53:38.4,Sentinelone installed,2024-04-13 17:23
Server,Server,192.168.168.49,203.177.81.30,Linux,Debian,,,,53:38.4,53:38.4,Can't ping,
Server,Server,192.168.168.56,203.177.81.30,Linux,Ubuntu,,,,53:38.4,53:38.4,Admin carana not found,
Server,Server,192.168.168.57,203.177.81.30,Linux,Linux Distribution,,,,53:38.3,53:38.3,No relevant ports are open,
Server,Server,192.168.168.58,203.177.81.30,Linux,Ubuntu,,,,53:38.1,53:38.1,Admin carana not found,
Server,Server,192.168.168.54,203.177.81.30,Linux,Ubuntu,,,,53:35.1,53:35.1,Admin carana not found,
Server,Server,172.16.10.105,222.127.139.115,Linux,Linux Distribution,,,,53:25.5,53:25.5,No relevant ports are open,
Server,Server,192.168.168.61,203.177.81.30,Linux,CentOS,,,,53:34.7,53:34.7,Admin carana not found,
Server,Server,192.168.168.85,203.177.81.30,Linux,Linux Distribution,,,,53:30.4,53:30.4,Admin carana not found,
Server,Server,192.168.168.99,203.177.81.30,Linux,CentOS,rhel.chan,,,53:30.3,53:30.3,Sentinelone not installed,
Server,Server,192.168.168.105,203.177.81.30,Linux,CentOS,pdsesiprept,,,53:30.2,53:30.2,Sentinelone installed,2024-07-18 01:25
Server,Server,192.168.168.93,203.177.81.30,Linux,Red Hat,mpredisharvesterfxtest,,,53:30.2,53:30.2,Sentinelone not installed,
Server,Server,192.168.168.191,203.177.81.30,Linux,Linux Distribution,caacdb.local,,,53:10.3,53:10.3,Sentinelone not installed,
Server,Server,192.168.168.92,203.177.81.30,Linux,CentOS,localhost.localdomain,,,53:30.1,53:30.1,Sentinelone installed,2024-04-13 17:07
Server,Server,192.168.168.108,203.177.81.30,Linux,Linux Distribution,accstestenv,,,53:30.1,53:30.1,Sentinelone installed,2024-04-13 17:59
Server,Server,192.168.168.124,203.177.81.30,Linux,Red Hat,,,,53:25.7,53:25.7,Can't ping,
Server,Server,192.168.168.154,203.177.81.30,Linux,Ubuntu,caacws,,,53:25.6,53:25.6,Sentinelone not installed,
Server,Server,192.168.168.159,203.177.81.30,Linux,Ubuntu,caacws,,,53:19.9,53:19.9,Sentinelone not installed,
Server,Server,192.168.168.115,203.177.81.30,Linux,CentOS,pdssblprod01p,,,53:22.9,53:22.9,Sentinelone installed,- :
Server,Server,192.168.168.153,203.177.81.30,Linux,Red Hat,PDSITOPSVR1T,,,53:22.9,53:22.9,Sentinelone not installed,
Server,Server,172.16.10.106,222.127.139.115,Linux,Linux Distribution,,,,53:22.8,53:22.8,Can't ping,
Server,Server,192.168.168.133,203.177.81.30,Linux,CentOS,nmpdbprdtest,,,53:20.3,53:20.3,Sentinelone installed,2024-04-13 17:46
Server,Server,192.168.168.162,203.177.81.30,Linux,Linux Distribution,PDSSCCPISODB1T,,,53:20.1,53:20.1,Sentinelone installed,- :
Server,Server,192.168.168.166,203.177.81.30,Linux,CentOS,fedoratest,,,53:19.9,53:19.9,Sentinelone not installed,
Server,Server,192.168.168.160,203.177.81.30,Linux,CentOS,,,,53:17.9,53:17.9,Admin carana not found,
Server,Server,172.16.82.3,203.177.81.171,Linux,Linux Distribution,,,,54:55.4,54:55.4,No relevant ports are open,
Server,Server,172.16.82.2,203.177.81.171,Linux,Linux Distribution,,,,54:53.6,54:53.6,No relevant ports are open,
Server,Server,172.16.82.30,203.177.81.171,Linux,CentOS,ns01.pdshc.com.ph.local,,,54:53.4,54:53.4,Sentinelone installed,2024-04-13 16:25
Server,Server,192.168.168.8,203.177.81.30,Linux,Linux Distribution,,,,48:53.5,48:53.5,No relevant ports are open,
Server,Server,192.168.168.13,203.177.81.30,Linux,Red Hat,,,,48:53.5,48:53.5,Admin carana not found,
Server,Server,192.168.168.41,203.177.81.30,Linux,Red Hat,PDSWEBAPPSTST01,,,48:50.5,48:50.5,Sentinelone installed,2024-04-13 16:40
Server,Server,192.168.168.4,203.177.81.30,Linux,CentOS,BANCSINTNG1U,,,49:10.0,49:10.0,Sentinelone not installed,
Server,Server,192.168.168.7,203.177.81.30,Linux,Red Hat,,,,56:45.6,56:45.6,Admin carana not found,
Server,Server,192.168.168.125,203.177.81.30,Linux,Red Hat,pdsemscmwt,,,51:25.0,51:25.0,Sentinelone installed,2024-10-07 02:10
Server,Server,192.168.168.35,203.177.81.30,Linux,Red Hat,,,,55:51.3,55:51.3,Admin carana not found,
